"slide","order","relationship_id","source","saved_as","bytes"
"3","3","rId4","ppt/media/image52.svg","assets/official-pptx-icons/slide-03/03-image52.svg","17309"
"3","4","rId24","ppt/media/image72.svg","assets/official-pptx-icons/slide-03/04-image72.svg","59812"
"3","5","rId22","ppt/media/image70.svg","assets/official-pptx-icons/slide-03/05-image70.svg","1156"
"3","6","rId20","ppt/media/image68.svg","assets/official-pptx-icons/slide-03/06-image68.svg","2372"
"3","7","rId2","ppt/media/image50.svg","assets/official-pptx-icons/slide-03/07-image50.svg","18472"
"3","8","rId18","ppt/media/image66.svg","assets/official-pptx-icons/slide-03/08-image66.svg","2618"
"3","9","rId16","ppt/media/image64.svg","assets/official-pptx-icons/slide-03/09-image64.svg","3194"
"3","10","rId14","ppt/media/image62.svg","assets/official-pptx-icons/slide-03/10-image62.svg","2506"
"3","11","rId12","ppt/media/image60.svg","assets/official-pptx-icons/slide-03/11-image60.svg","3129"
"3","12","rId10","ppt/media/image58.svg","assets/official-pptx-icons/slide-03/12-image58.svg","5729"
"4","1","rId8","ppt/media/image80.svg","assets/official-pptx-icons/slide-04/01-image80.svg","3584"
"4","2","rId6","ppt/media/image78.svg","assets/official-pptx-icons/slide-04/02-image78.svg","19282"
